id;UNIDAD;MUNICIPIO;Match_addr;ARC_Street;CODIGO;PERIODO;DIRECCION;Delito;x;y
28695;MEBOG;Bogota;CL 145A-15 40, BOGOTA;CL 145 A KR 15 40;110317043;2012;CL 145 A KR 15 40;h_personas;-74,03610325;4,727881615
28696;MEBOG;Bogota;KR 13-53 2, BOGOTA;KR 13 . CL 53 .;110317044;2012;KR 13 . CL 53 .;h_personas;-74,05929674;4,640664264
28697;MEBOG;Bogota;CL 58BIS-9 12, BOGOTA;CL 58 BIS KR 9 12;110317046;2012;CL 58 BIS KR 9 12;h_personas;-74,05749342;4,645100608
28698;MEBOG;Bogota;KR 7-100 2, BOGOTA;KR 7 CL 100;110317048;2012;KR 7 CL 100;h_personas;-74,03244743;4,680233296
28699;MEBOG;Bogota;DG 49-51 S 3, BOGOTA;DG 49 SUR KR 51 3;110317049;2012;DG 49 SUR KR 51 3;h_personas;-74,13301094;4,59192051
28700;MEBOG;Bogota;CL 66A-23 S 23, BOGOTA;CL 66 A SUR KR 23 23;110317051;2012;CL 66 A SUR KR 23 23;h_personas;-74,14409743;4,567018579
28701;MEBOG;Bogota;KR 14A-54 S 2, BOGOTA;KR 14 A CL 54 SUR;110317052;2012;KR 14 A CL 54 SUR;h_personas;-74,12217531;4,562442587
28702;MEBOG;Bogota;KR 7-63 2, BOGOTA;KR 7 CL 63;110317053;2012;KR 7 CL 63;h_personas;-74,05395369;4,64823291
28703;MEBOG;Bogota;DG 77-121 1, BOGOTA;DG 77 KR 121 1;110317054;2012;DG 77 KR 121 1;h_personas;-74,12819705;4,72142123
28704;MEBOG;Bogota;CL 39C-39A S 2, BOGOTA;CL 39 C SUR KR 39 A;110317055;2012;CL 39 C SUR KR 39 A;h_personas;-74,12012332;4,592886731
28705;MEBOG;Bogota;KR 96G-17 29, BOGOTA;KR 96 G CL 17 29;110317057;2012;KR 96 G CL 17 29;h_personas;-74,13711077;4,669679997
28706;MEBOG;Bogota;KR 87B-57 S 2, BOGOTA;KR 87 B CL 57 SUR;110317058;2012;KR 87 B CL 57 SUR;h_personas;-74,17987571;4,623996011
28707;MEBOG;Bogota;CL 153-45 2, BOGOTA;CL 153 KR 45;110317059;2012;CL 153 KR 45;h_personas;-74,04340014;4,738443639
28708;MEBOG;Bogota;KR 15-85 2, BOGOTA;KR 15 CL 85;110317060;2012;KR 15 CL 85;h_personas;-74,04947167;4,670626208
28709;MEBOG;Bogota;CL 127-71 2, BOGOTA;CL 127 KR 71;110317061;2012;CL 127 KR 71;h_personas;-74,0708479;4,710964187
28710;MEBOG;Bogota;KR 111-16A 2, BOGOTA;KR 111 CL 16 A;110317063;2012;KR 111 CL 16 A;h_personas;-74,14908943;4,677415723
28711;MEBOG;Bogota;KR 13B-161 50, BOGOTA;KR 13 B CL 161 50;110317065;2012;KR 13 B CL 161 50;h_personas;-74,02855891;4,740552668
28712;MEBOG;Bogota;CL 58-10 32, BOGOTA;CL 58 . KR 10 . 32;110317066;2012;CL 58 . KR 10 . 32;h_personas;-74,05805126;4,644863641
28713;MEBOG;Bogota;DG 16B-104 17, BOGOTA;DG 16 B KR 104 17;110317067;2012;DG 16 B KR 104 17;h_personas;-74,14568328;4,672585479
28714;MEBOG;Bogota;CL 7-31 2, BOGOTA;CL 7 KR 31;110317068;2012;CL 7 KR 31;h_personas;-74,09229087;4,608897051
28715;MEBOG;Bogota;DG 16B-104 17, BOGOTA;DG 16 B KR 104 17;110317071;2012;DG 16 B KR 104 17;h_personas;-74,14568328;4,672585479
28716;MEBOG;Bogota;DG 16B-104 17, BOGOTA;DG 16 B KR 104 17;110317073;2012;DG 16 B KR 104 17;h_personas;-74,14568328;4,672585479
28717;MEBOG;Bogota;CL 67-73G S 43, BOGOTA;CL 67 SUR SUR KR 73 G 43;110317074;2012;CL 67 SUR SUR KR 73 G 43;h_personas;-74,16497748;4,583428173
28718;MEBOG;Bogota;CL 18-69 61, BOGOTA;CL 18 KR 69 61;110317075;2012;CL 18 KR 69 61;h_personas;-74,11590247;4,646033972
28719;MEBOG;Bogota;KR 44-74 S 2, BOGOTA;KR 44 CL 74 SUR;110317076;2012;KR 44 CL 74 SUR;h_personas;-74,15905321;4,569022395
28720;MEBOG;Bogota;CL 136A-112A 44, BOGOTA;CL 136 A KR 112 A 44;110317077;2012;CL 136 A KR 112 A 44;h_personas;-74,09890935;4,742539605
